16199,"Nov 13, 2012 to Dec 25, 2012",-1,23 min. per ep.,2,9,"Military , School",Sentai Filmworks,"11,940",#3008,-1,"Lantis , Movic",#5020,PG-13 - Teens 13 or older,6.59,Original,Finished Airing,Actas,Girls und Panzer: Shoukai Shimasu!,Special,"6,494"
16201,"Apr 5, 2013 to Jun 30, 2013",Unknown,24 min. per ep.,13,"1,506","Drama , Psychological , Romance , School",Sentai Filmworks,"97,161",#696,Spring 2013,"Starchild Records , Animax , Kodansha , KlockWorx , GANSIS",#2625,R - 17+ (violence & profanity),7.22,Manga,Finished Airing,Zexcs,Aku no Hana (Flowers of Evil),TV,"36,002"
16211,"Jan 8, 2013 to Mar 26, 2013",Tuesdays at Unknown,23 min. per ep.,12,1,"Historical , Fantasy","None found, add some","8,118",#3534,Winter 2013,"Sotsu , Nippon Columbia",#6453,PG-13 - Teens 13 or older,6.18,Unknown,Finished Airing,TMS Entertainment,Bakumatsu Gijinden Roman,TV,"3,072"
16233,"Nov, 2012",-1,4 min.,1,1,"Drama , Music","None found, add some","1,330",#6858,-1,"None found, add some",#6169,PG-13 - Teens 13 or older,6.28,Unknown,Finished Airing,"None found, add some",Yowai Mushi,Special,861
16239,15-Dec-12,-1,1 hr. 42 min.,1,17,"Action , Adventure , Comedy , Fantasy , Shounen , Super Power","None found, add some","24,004",#2063,-1,"None found, add some",#785,PG-13 - Teens 13 or older,7.84,Manga,Finished Airing,Toei Animation,One Piece: Episode of Luffy - Hand Island no Bouken,Special,"13,752"
16241,"Apr 7, 2013 to Jun 30, 2013",Unknown,12 min. per ep.,13,42,"Comedy , Demons , Supernatural",Nozomi Entertainment,"22,752",#2136,Spring 2013,"None found, add some",#1186,R - 17+ (violence & profanity),7.65,Manga,Finished Airing,Production I.G,"Yondemasu yo, Azazel-san. Z (You're Being Summoned, Azazel Z)",TV,"12,800"
16245,26-Jul-98,-1,30 min.,1,0,"Comedy , School , Shounen","None found, add some",116,#11118,-1,AIC,#10780,G - All Ages,5.83,Unknown,Finished Airing,"None found, add some",Seikimatsu Leader Gaiden Takeshi!,Special,18
16247,03-Feb-90,-1,50 min.,1,0,"Mystery , Shoujo","None found, add some",267,#9538,-1,Nihon Eizo,#7376,PG-13 - Teens 13 or older,5.73,Novel,Finished Airing,"Nippon Animation , Studio WHO",Satsujin Kippu wa Heart-iro,OVA,101
16251,10-Jan-97,-1,50 min.,1,0,"Action , Adventure , Military , Sci-Fi","None found, add some",339,#9172,-1,"None found, add some",#7242,None,5.81,Manga,Finished Airing,"J.C.Staff , Toei Animation",Shinkai no Kantai: Submarine 707,OVA,108
16253,04-Jan-90,-1,1 hr. 10 min.,1,0,"Fantasy , Comedy","None found, add some",93,#11636,-1,Oh! Production,#11326,PG - Children,6.59,Unknown,Finished Airing,"None found, add some","Umi Da! Funade Da! Nikoniko, Pun",Movie,17
