ID,Aired,Duration,Episodes,Genres,Popularity,Ranked,Rating,Score,ScoredBy,Source,Status,Studios,Title,Type
26351,"Apr 4, 2015 to Jul 18, 2015",24 min. per ep.,16,"Comedy, Romance, School, Seinen, Slice of Life",961,4356,PG-13 - Teens 13 or older,6.76,26078,Manga,Finished Airing,Satelight,Nagato Yuki-chan no Shoushitsu,TV
26359,10-Dec-14,16 min.,1,"Adventure, Mystery, Supernatural, Drama",4017,4979,PG-13 - Teens 13 or older,6.61,2338,Game,Finished Airing,A-1 Pictures,Persona 4 the Golden Animation: Thank you Mr. Accomplice,Special
26395,"Apr 7, 2015 to Jun 23, 2015",2 min. per ep.,12,"Comedy, Shounen, Sports",3060,3949,PG-13 - Teens 13 or older,6.86,6271,Manga,Finished Airing,Millepensee,Teekyuu 4 (Teekyu 4),TV
26441,"Jan 11, 2015 to Mar 29, 2015",24 min. per ep.,12,"Comedy, Fantasy, Historical, Magic, Seinen",804,2444,R - 17+ (violence & profanity),7.27,38143,Manga,Finished Airing,Production I.G,Junketsu no Maria (Maria the Virgin Witch),TV
26443,"Apr 9, 2015 to Jun 11, 2015",23 min. per ep.,10,"Action, Adventure, Ecchi, Shounen",988,5677,R+ - Mild Nudity,6.42,29275,Manga,Finished Airing,Xebec,Triage X,TV
26447,1982,5 min.,1,"Adventure, Sci-Fi",11542,11312,G - All Ages,5.5,38,Original,Finished Airing,"None found, add some",Uchuusen Sagittarius Pilot,Special
26449,31-Aug-14,42 min.,1,"Action, Adventure, Fantasy",2762,3802,R - 17+ (violence & profanity),6.89,5799,Manga,Finished Airing,White Fox,Akame ga Kill! Recap,Special
26453,"Sep 28, 2014 to Oct 4, 2015",20 min. per ep.,50,"Music, School",4952,3327,PG - Children,7.04,887,Original,Finished Airing,"Sunrise,       Bandai Namco Pictures",Tribe Cool Crew,TV
27363,"Nov 28, 2014 to Feb 27, 2015",30 min. per ep.,2,Hentai,5275,/A,Rx - Hentai,6.78,994,Visual novel,Finished Airing,PoRO,Yakata: Kannou Kitan,OVA
27369,"Apr 2, 1990 to Mar 29, 1991",25 min. per ep.,100,"Kids, Adventure, Fantasy, Comedy",12183,9059,PG - Children,6.2,5,Unknown,Finished Airing,Studio Gallop,Eigo de Asobo: Tanken Goblin Tou,TV
27371,26-Jul-97,25 min.,1,"Kids, Fantasy, Comedy",11595,10981,PG - Children,6.08,13,Unknown,Finished Airing,TMS Entertainment,Sore Ike! Anpanman: Bokura wa Hero,Movie
27373,"Apr 26, 1995 to Feb 1, 1996",30 min. per ep.,12,"Kids, Fantasy, Comedy",11869,11009,PG - Children,5.62,13,Unknown,Finished Airing,TMS Entertainment,Sore Ike! Anpanman: Otanjoubi Series,OVA
27375,18-Mar-69,25 min.,1,Drama,12004,9460,G - All Ages,5.25,4,Unknown,Finished Airing,Toei Animation,Hitoribotchi,Movie
27377,19-Mar-67,15 min.,1,Kids,12176,11144,PG - Children,7.8,5,Unknown,Finished Airing,Toei Animation,Tanuki-san Ooatari,Movie
27379,31-Dec-66,56 min.,1,"Adventure, Sci-Fi",11975,10805,G - All Ages,7,4,Unknown,Finished Airing,Toei Animation,Sekai no Ouja: King Kong Taikai,Special
27387,1-Aug-16,38 min.,1,"Action, Sci-Fi, Thriller",1707,5513,R+ - Mild Nudity,6.47,14035,Original,Finished Airing,"Kinema Citrus,       Orange",Under the Dog,OVA
27389,8-Dec-06,52 min.,1,"Fantasy, Kids",12338,10492,PG - Children,5.4,5,Unknown,Finished Airing,"None found, add some","Ore-tachi, Tomodachi!",OVA
27393,"Apr 9, 1997 to Jan 22, 1998",25 min. per ep.,28,"Adventure, Shounen",12009,9957,PG - Children,5.6,5,Original,Finished Airing,"None found, add some",Kyuumei Senshi Nanosaver,TV
27399,15-Nov-14,1 hr.,1,"Slice of Life, Comedy",10654,10556,G - All Ages,5.13,15,Unknown,Finished Airing,"None found, add some",Peeping Life Movie: We Are The Hero,OVA
27405,26-Oct-07,7 min.,1,"Drama, Seinen, Slice of Life",10348,5438,G - All Ages,6.49,64,Unknown,Finished Airing,"None found, add some",Zou no Senaka: Tabidatsu Hi,OVA
27411,20-Jun-15,1 hr. 40 min.,1,"Action, Mecha, Police, Psychological, Sci-Fi",2000,1194,R - 17+ (violence & profanity),7.64,7927,Manga,Finished Airing,Production I.G,Ghost in the Shell (2015) (Ghost in the Shell: The New Movie),Movie
27413,"Nov 28, 2014 to Dec 25, 2015",27 min. per ep.,2,"Hentai, Demons, Supernatural, Fantasy",5548,/A,Rx - Hentai,6.88,804,Manga,Finished Airing,"None found, add some",Shinkyoku no Grimoire The Animation,OVA
27417,26-Feb-15,11 min.,1,"Harem, School, Vampire, Shoujo",2609,6846,PG-13 - Teens 13 or older,6.02,7769,Unknown,Finished Airing,"Production I.G,       Zexcs",Diabolik Lovers OVA,OVA
27419,17-Dec-14,11 min.,1,"Slice of Life, Music, School",4672,4031,PG-13 - Teens 13 or older,6.84,1595,Original,Finished Airing,P.A. Works,"Tari Tari: Kumottari, Kagayaitari, Mata Itsuka Utattari",Special
27437,2009,11 min.,1,"Adventure, Fantasy, Kids",10166,7859,G - All Ages,5.37,81,Original,Finished Airing,"None found, add some",Mushiba Tetsudou,Movie
27441,"Apr 5, 2015 to Jun 21, 2015",24 min. per ep.,12,"Comedy, Music",1569,2821,PG-13 - Teens 13 or older,7.17,12734,Game,Finished Airing,Bones,Show By Rock!!,TV
27451,"Dec 3, 2005 to May 28, 2006",5 min. per ep.,52,Kids,11883,10627,G - All Ages,5.96,25,Unknown,Finished Airing,"None found, add some",Porong Porong Pororo 2 (Pororo the Little Penguin 2),TV
27453,2006,3 min. per ep.,14,"Kids, Music",12222,10635,G - All Ages,5.31,16,Unknown,Finished Airing,"None found, add some",Pororo-wa Noraehaeyo (Sing-A-Long with Pororo),TV
27455,"May 4, 2009 to Oct 27, 2009",5 min. per ep.,52,"Kids, Sci-Fi",12034,10628,G - All Ages,5.87,23,Unknown,Finished Airing,"None found, add some",Porong Porong Pororo 3 (Pororo the Little Penguin 3),TV
27457,"Feb 29, 2012 to May 24, 2012",11 min. per ep.,26,"Cars, Kids",11884,10629,G - All Ages,5.55,20,Unknown,Finished Airing,"None found, add some",Porong Porong Pororo 4 (Pororo the Little Penguin 4),TV
27459,"Feb 24, 2014 to May 20, 2014",11 min. per ep.,26,"Kids, Cars",11816,10630,G - All Ages,6.1,20,Unknown,Finished Airing,"None found, add some",Porong Porong Pororo 5 (Pororo the Little Penguin 5),TV
27461,2013,5 min. per ep.,13,"Kids, Music",12221,10634,G - All Ages,5.44,16,Unknown,Finished Airing,"None found, add some",Pororo&#039;s English Show,TV
27463,23-Jan-13,1 hr. 16 min.,1,"Cars, Kids",12014,10632,G - All Ages,4.63,19,Unknown,Finished Airing,"None found, add some",Pororo Geugjangpan Super Sseolmae Daemoheom,Movie
27465,7-Mar-13,14 min.,1,"Adventure, Kids",12035,10633,G - All Ages,4.65,26,Unknown,Finished Airing,"None found, add some",Pororo Hanguk-e Wass-eoyo (Pororo Goes to Korea),ONA
27467,2012,5 min. per ep.,6,"Kids, Magic",12049,11494,G - All Ages,5.41,17,Unknown,Finished Airing,"None found, add some","Yoligongju Loopy (Loopy, the Cooking Princess)",TV
27491,12-Jul-03,20 min.,1,"Kids, Fantasy, Comedy",10886,10991,PG - Children,6.12,17,Unknown,Finished Airing,TMS Entertainment,Sore Ike! Anpanman: Kaiketsu Naganegiman to Doremi Hime,Movie
27493,5-Nov-03,50 min.,1,"Kids, Fantasy, Comedy",11870,11030,PG - Children,6.4,10,Unknown,Finished Airing,TMS Entertainment,Sore Ike! Anpanman: Yuuki to Honoo to Christmas,Special
27495,14-Jul-01,20 min.,1,"Kids, Adventure, Fantasy",11313,10992,PG - Children,6.47,15,Unknown,Finished Airing,TMS Entertainment,Sore Ike! Anpanman: Kaiketsu Naganegiman to Yakisobapanman,Movie
27497,21-Feb-00,50 min.,1,"Adventure, Fantasy, Kids",11777,10994,PG - Children,6,11,Unknown,Finished Airing,TMS Entertainment,Sore Ike! Anpanman: Kieta Jam Ojisan,Special
27499,21-Feb-00,Unknown,1,"Kids, Adventure, Fantasy",11693,10972,PG - Children,5.45,11,Unknown,Finished Airing,TMS Entertainment,Sore Ike! Anpanman: Anpanman to Kaizoku Lobster,Special
27501,24-Jul-99,25 min.,1,"Kids, Adventure, Fantasy",11793,10975,PG - Children,6.77,13,Unknown,Finished Airing,TMS Entertainment,Sore Ike! Anpanman: Anpanman to Tanoshii Nakama-tachi,Movie
27503,"Sep 27, 2014 to Dec 6, 2014",11 min. per ep.,11,"Action, Sci-Fi",3372,7148,PG-13 - Teens 13 or older,5.86,3260,Original,Finished Airing,Next Media Animation,Karen Senki,ONA
27509,10-Sep-14,1 min.,1,"Action, Comedy, Magic, Sci-Fi, Super Power",4008,3207,PG-13 - Teens 13 or older,7.07,2178,Unknown,Finished Airing,J.C.Staff,Toaru Majutsu no Index 10th Anniversary PV,Special
27519,"Oct 7, 2014 to Dec 23, 2014",15 min. per ep.,12,"Comedy, Fantasy",9602,9883,PG - Children,5.6,35,Unknown,Finished Airing,"None found, add some",Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www (TV),TV
27521,"Oct 19, 2014 to Dec 29, 2015",2 min. per ep.,61,"Music, Comedy",10149,9261,PG-13 - Teens 13 or older,5.77,22,Original,Finished Airing,Pie in The Sky,Gra-P &amp; Rodeo,TV
27525,"Jul 25, 2015 to Sep 26, 2015",23 min. per ep.,10,"Action, Slice of Life, Comedy, Magic, Fantasy",1251,2032,PG-13 - Teens 13 or older,7.38,25336,Manga,Finished Airing,Silver Link.,Fate/kaleid liner Prisma\xe2\x98\x86Illya 2wei Herz!,TV
27539,25-Oct-14,7 min. per ep.,3,"Kids, Fantasy",8583,2410,G - All Ages,7.28,225,Game,Finished Airing,"None found, add some",Pikmin Short Movies,Movie
27551,"Apr 1, 2002 to Mar 18, 2011",1 min.,Unknown,"Kids, Comedy",12023,8983,PG - Children,6.6,10,Original,Finished Airing,"None found, add some",Deko Boko Friends,TV
27557,"Aug 19, 2004 to Oct 21, 2004",30 min. per ep.,3,"Comedy, Historical, Drama",10627,8621,G - All Ages,5.45,20,Unknown,Finished Airing,"None found, add some",Ajisai no Uta,OVA
27559,23-Jul-93,44 min.,1,"Comedy, School, Seinen",10621,10111,R+ - Mild Nudity,5.94,16,Unknown,Finished Airing,"None found, add some",Mellow,OVA
27561,11-Jun-94,1 hr. 45 min.,1,"Parody, Sports, Comedy",12111,9570,G - All Ages,3.86,7,Unknown,Finished Airing,"None found, add some",J League wo 100-bai Tanoshiku Miru Houhou!!,Movie
27567,25-Jul-96,2 min. per ep.,2,Comedy,7155,2551,PG - Children,7.24,362,Manga,Finished Airing,Studio Pierrot,Fushigi Yuugi Special: Nakago Shikkari Shinasai!,Special
27569,10-Jul-10,20 min.,1,"Kids, Fantasy, Comedy",11868,10987,PG - Children,5.58,12,Unknown,Finished Airing,TMS Entertainment,Sore Ike! Anpanman: Hashire! Wakuwaku Anpanman Grand Prix,Movie
27571,25-Dec-95,50 min.,1,"Kids, Fantasy, Comedy",11818,10993,PG - Children,6.08,13,Unknown,Finished Airing,TMS Entertainment,Sore Ike! Anpanman: Keito no Shiro no Christmas,Special
27573,1925,18 min.,1,Drama,11292,11299,None,5.74,39,Original,Finished Airing,"None found, add some",Ubasuteyama,Movie
27575,16-Jul-42,12 min.,1,"Military, Historical",11596,11047,G - All Ages,6.6,10,Original,Finished Airing,"None found, add some",Spy Gekimetsu,Movie
27577,"Dec, 1949",15 min.,1,Sports,11631,9030,G - All Ages,6.25,8,Original,Finished Airing,"None found, add some",Doubutsu Dai Yakyuu Sen,Movie
27579,29-May-93,20 min.,1,"Historical, Drama",12264,10127,G - All Ages,7,4,Unknown,Finished Airing,"None found, add some",Mii-chan no Tenohira,Movie
27589,"Apr 7, 2011 to Sep 29, 2011",1 min. per ep.,26,"Kids, Comedy",10520,8590,G - All Ages,5.22,37,Unknown,Finished Airing,Pollyanna Graphics,47 Todoufuken,TV
