ID,Aired,Duration,Episodes,Genres,Popularity,Ranked,Rating,Score,Source,Status,Studios,Title,Type
2751,25-Aug-07,1 hr. 47 min.,1,"Slice of Life, Fantasy, Drama",3754,3233,G - All Ages,7.06,Manga,Finished Airing,Nippon Animation,Miyori no Mori (Miyori&#039;s Forest),Special
2752,"Jun 22, 2007 to Jan 25, 2008",23 min. per ep.,6,"Action, Comedy, Sports",2120,454,PG-13 - Teens 13 or older,8.07,Unknown,Finished Airing,M.S.C,Prince of Tennis: The National Tournament Semifinals,OVA
2753,9-Mar-91,1 hr. 30 min.,1,"Historical, Drama",4478,566,G - All Ages,7.98,Novel,Finished Airing,Mushi Production,Ushiro no Shoumen Daare (Who&#039;s Left Behind?),Movie
2754,"Apr 28, 1989 to May 24, 1991",37 min. per ep.,3,"Action, Adventure, Sci-Fi",6973,6638,R+ - Mild Nudity,6.1,Manga,Finished Airing,J.C.Staff,Cleopatra D.C.,OVA
2755,15-Sep-70,1 hr. 53 min.,1,"Hentai, Historical",6109,/A,Rx - Hentai,5.99,Unknown,Finished Airing,"None found, add some",Cleopatra (Cleopatra: Queen of Sex),Movie
2756,25-Jan-07,1 hr. 25 min.,1,"Sci-Fi, Drama, Fantasy",3263,1960,PG - Children,7.4,Original,Finished Airing,Sunwoo Entertainment,Cheonnyeon-yeowoo Yeowoobi,Movie
2757,"Apr 7, 1995 to Jan 26, 1996",25 min. per ep.,39,"Action, Fantasy, Comedy",7340,3622,PG-13 - Teens 13 or older,6.95,Original,Finished Airing,Shaft,Juuni Senshi Bakuretsu Eto Ranger,TV
2758,"Apr 6, 1993 to Mar 29, 1994",24 min. per ep.,52,"Sci-Fi, Shounen, Sports",8539,2719,PG-13 - Teens 13 or older,7.2,Original,Finished Airing,Sunrise,Shippuu! Iron Leaguer,TV
2759,1-Sep-07,1 hr. 40 min.,1,"Action, Sci-Fi, Mecha",251,317,PG-13 - Teens 13 or older,8.19,Original,Finished Airing,Khara,Evangelion: 1.0 You Are (Not) Alone,Movie
2760,10-Jul-82,1 hr. 25 min.,1,"Sci-Fi, Space, Drama, Mecha",6119,5855,PG-13 - Teens 13 or older,6.36,Unknown,Finished Airing,Sunrise,Densetsu Kyojin Ideon: Sesshoku-hen (The Ideon: A Contact),Movie
2761,10-Jul-82,1 hr. 38 min.,1,"Drama, Mecha, Sci-Fi, Space",4999,711,PG-13 - Teens 13 or older,7.88,Unknown,Finished Airing,Sunrise,Densetsu Kyojin Ideon: Hatsudou-hen (The Ideon: Be Invoked),Movie
2762,"Oct 20, 1983 to Mar 29, 1984",23 min. per ep.,24,"Action, Adventure, Comedy, Romance, School, Shounen",4098,412,PG-13 - Teens 13 or older,8.11,Manga,Finished Airing,Group TAC,Igano Kabamaru,TV
2765,12-Apr-45,1 hr. 14 min.,1,"Action, Military",7615,7817,G - All Ages,5.35,Original,Finished Airing,Shochiku Animation Institute,"Momotarou: Umi no Shinpei (Momotaro, Sacred Sailors)",Movie
2766,"Oct 6, 1998 to Sep 28, 1999",25 min. per ep.,52,"Adventure, Magic, Comedy",6076,4835,G - All Ages,6.65,Unknown,Finished Airing,Madhouse,Super Doll Licca-chan,TV
2767,7-Jul-06,27 min.,1,"Fantasy, Kids, Psychological, Slice of Life",5418,7301,PG - Children,5.76,Other,Finished Airing,Studio Ghibli,Taneyamagahara no Yoru,Movie
2768,26-Oct-07,5 min.,1,"Action, Fantasy, Magic, Comedy, Romance, Music, Drama",2699,1244,G - All Ages,7.62,Unknown,Finished Airing,Madhouse,CLAMP in Wonderland 2,Mu
2769,"Oct 6, 1984 to Mar 30, 1985",25 min. per ep.,25,"Action, Adventure, Sci-Fi",8360,4644,PG-13 - Teens 13 or older,6.69,Unknown,Finished Airing,Madhouse,Galactic Patrol Lensman,TV
2770,7-Jul-84,1 hr. 47 min.,1,"Action, Adventure, Sci-Fi, Space",6572,6033,PG-13 - Teens 13 or older,6.32,Unknown,Finished Airing,Madhouse,SF Shinseiki Lensman,Movie
2771,"Apr 5, 1994 to Jan 3, 1995",25 min. per ep.,39,"Slice of Life, Comedy, Romance, School, Shoujo",7640,5201,PG-13 - Teens 13 or older,6.55,Manga,Finished Airing,"Studio Kyuuma,       Studio Kikan,       Azeta Pictures",Chou Kuse ni Narisou (I&#039;ll Make a Habit of It),TV
2772,"Oct 8, 2007 to Mar 31, 2008",24 min. per ep.,26,"Action, Fantasy, Shounen",2455,3531,PG-13 - Teens 13 or older,6.98,Manga,Finished Airing,Studio Flag,Juushin Enbu: Hero Tales (Hero Tales),TV
2775,"Mar 2, 1994 to Jul 21, 1994",29 min. per ep.,5,"Action, Sci-Fi, Horror, Psychological, Mecha",2758,6662,R - 17+ (violence & profanity),6.09,Manga,Finished Airing,Artmic,Genocyber,OVA
2776,5-Sep-01,30 min.,1,"Action, Adventure, Demons, Magic, Fantasy",7024,8452,None,3.79,Unknown,Finished Airing,"None found, add some",Generation of Chaos,OVA
2777,22-May-02,27 min.,1,"Action, Military, Adventure, Romance, Fantasy",7967,8427,None,4.14,Unknown,Finished Airing,"None found, add some",Generation of Chaos Next: Chikai no Pendant,OVA
2778,"May 21, 2003 to Jun 25, 2003",24 min. per ep.,2,"Action, Adventure, Fantasy, Magic",8076,8342,None,4.59,Unknown,Finished Airing,"None found, add some",Generation of Chaos III: Toki no Fuuin,OVA
2779,"Jan 21, 1999 to Apr 21, 1999",27 min. per ep.,2,"Drama, School",6836,7460,PG-13 - Teens 13 or older,5.65,Manga,Finished Airing,Artland,Sotsugyou M: Ore-tachi no Carnival,OVA
2780,6-Feb-88,56 min.,1,"Action, Adventure, Comedy, School, Supernatural",6286,7383,PG-13 - Teens 13 or older,5.7,Unknown,Finished Airing,J.C.Staff,Kyoufu no Bio Ningen Saishuu Kyoushi (Ultimate Teacher),OVA
2781,"Oct 6, 1998 to Dec 30, 1998",24 min. per ep.,13,"Mystery, Psychological, Supernatural",6247,6487,PG-13 - Teens 13 or older,6.17,Original,Finished Airing,Triangle Staff,Saint Luminous Jogakuin (St. Luminous Mission High School),TV
2782,"Jan 26, 1996 to Apr 26, 1996",27 min. per ep.,2,"Action, Adventure, Fantasy, Magic, Shounen",3952,7020,PG-13 - Teens 13 or older,5.92,Game,Finished Airing,Studio Fantasia,Fire Emblem,OVA
2783,"Mar 31, 1992 to Sep 30, 1992",24 min. per ep.,26,"Adventure, Fantasy, Shoujo",7881,4031,G - All Ages,6.84,Book,Finished Airing,"None found, add some",Oyayubi Hime Monogatari (Thumbelina: A Magical Story),TV
2784,22-Jun-07,23 min.,1,"Comedy, Ecchi, Harem, Magic, Romance",4038,3939,PG-13 - Teens 13 or older,6.86,Unknown,Finished Airing,OLM,Gift: Eternal Rainbow Special,Special
2785,"Aug 28, 1992 to Sep 25, 1992",35 min. per ep.,2,"Action, Military, Sci-Fi, Drama, Shoujo",7707,7435,R - 17+ (violence & profanity),5.67,Manga,Finished Airing,"Madhouse,       Studio Fantasia",OZ,OVA
2786,"Apr 3, 2006 to Mar 26, 2007",25 min. per ep.,51,"Action, Game, Shounen",6504,4042,PG - Children,6.83,Unknown,Finished Airing,Radix,Bakegyamon,TV
2787,"Oct 5, 2007 to Mar 28, 2008",24 min. per ep.,24,"Action, Drama, Fantasy, Romance, School, Supernatural",273,957,PG-13 - Teens 13 or older,7.76,Light novel,Finished Airing,J.C.Staff,Shakugan no Shana II (Second) (Shakugan no Shana: Season II),TV
2788,"Nov 21, 2002 to Dec 26, 2002",33 min. per ep.,3,"Drama, Hentai, Romance, Sci-Fi",6197,/A,Rx - Hentai,5.8,Original,Finished Airing,"None found, add some",Stratosphera no Yousei (Nymphs of the Stratosphere),OVA
2789,"Jan 5, 2004 to Dec 27, 2004",22 min. per ep.,52,"Adventure, Fantasy, Kids, Shounen",3697,5822,PG - Children,6.37,Manga,Finished Airing,Nippon Animation,B-Densetsu! Battle Bedaman (Battle B-Daman),TV
2790,21-Aug-92,43 min.,1,"Comedy, Ecchi, School",7297,7599,PG-13 - Teens 13 or older,5.54,Unknown,Finished Airing,"None found, add some",Oira Sukeban,OVA
2791,10-Jun-04,24 min.,1,"Action, Comedy, School",7411,6399,G - All Ages,6.2,Manga,Finished Airing,"None found, add some",Makasete Iruka!,OVA
2792,25-Oct-96,27 min.,1,"Adventure, Fantasy",7033,8482,PG-13 - Teens 13 or older,3.34,Game,Finished Airing,Production I.G,Panzer Dragoon,OVA
2793,15-Mar-80,2 hr. 2 min.,1,"Adventure, Fantasy, Drama, Sci-Fi",6175,3752,G - All Ages,6.91,Unknown,Finished Airing,"None found, add some",Hi no Tori 2772: Ai no CosmoZone,Movie
2794,"Feb 22, 2002 to Jul 26, 2002",30 min. per ep.,3,Hentai,7945,/A,Rx - Hentai,6.15,Unknown,Finished Airing,"None found, add some",Kussetsu,OVA
2795,"Oct 4, 2007 to Mar 27, 2008",25 min. per ep.,25,"Action, Drama, Fantasy, Mecha, Romance, Sci-Fi",1299,4215,R+ - Mild Nudity,6.79,Original,Finished Airing,Gonzo,Dragonaut: The Resonance (Dragonaut - The Resonance),TV
2796,25-Jun-01,29 min.,1,"Comedy, Kids",5766,7918,G - All Ages,5.25,Unknown,Finished Airing,"None found, add some",Afro-Ken,OVA
2797,"Jan 31, 2002 to Apr 26, 2002",45 min. per ep.,3,"Action, Martial Arts, Shounen",5499,2859,R - 17+ (violence & profanity),7.16,Manga,Finished Airing,"None found, add some",Koukou Tekken-den Tough (Shootfighter Tekken),OVA
2798,"May 25, 2007 to Jul 27, 2007",30 min. per ep.,2,Hentai,2643,/A,Rx - Hentai,7.44,Manga,Finished Airing,Pink Pineapple,Hatsu Inu The Animation,OVA
2799,"Mar 6, 1981 to Feb 26, 1982",25 min. per ep.,47,"Adventure, Romance, Shoujo",5331,2889,G - All Ages,7.15,Original,Finished Airing,Toei Animation,Hello! Sandybell,TV
2800,"Oct 1, 1976 to Feb 2, 1979",25 min. per ep.,115,"Slice of Life, Drama, Shoujo",2879,1374,G - All Ages,7.57,Unknown,Finished Airing,Toei Animation,Candy Candy,TV
2801,18-Mar-78,25 min.,1,"Slice of Life, Drama, Shoujo",7253,4766,G - All Ages,6.66,Unknown,Finished Airing,Toei Animation,Candy Candy: Haru no Yobigoe (Candy Candy: The Call of Spring),Movie
2802,22-Jul-78,18 min.,1,"Slice of Life, Drama, Shoujo",7096,4316,G - All Ages,6.77,Unknown,Finished Airing,Toei Animation,Candy Candy: Candy no Natsu Yasumi,Movie
2803,"Feb 8, 1992 to Jan 23, 1993",24 min. per ep.,46,"Mecha, Sci-Fi, Shounen",5960,2249,PG-13 - Teens 13 or older,7.32,Unknown,Finished Airing,Sunrise,Densetsu no Yuusha Da Garn,TV
2804,"Feb 3, 1992 to Jan 18, 1993",24 min. per ep.,50,"Adventure, Magic, Fantasy, Shoujo",7095,4727,G - All Ages,6.67,Original,Finished Airing,"Production Reed,       Asahi Production",Hana no Mahoutsukai Mary Bell,TV
2805,"Apr 2, 1985 to Feb 4, 1986",15 min. per ep.,78,"Kids, Slice of Life, Fantasy, Magic, Comedy",8466,2988,G - All Ages,7.13,Unknown,Finished Airing,"None found, add some",Onegai! Samia Don,TV
2806,"Aug 24, 1992 to Jul 16, 1993",10 min. per ep.,170,"Adventure, Comedy, Fantasy",8762,5074,PG-13 - Teens 13 or older,6.59,Unknown,Finished Airing,"None found, add some",Yadamon (Yadamon: Magical Dreamer),TV
